Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 15:47:34 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_100_20210727185230/ (7.4 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_100_20210929204956/ (105.4 MB, 1702d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_100_20210929204956_98/ (105.4 MB, 1702d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_101_20210727185411/ (7.4 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_101_20210930154832/ (63.1 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_101_20210930154832_99/ (63.1 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_102_20210727185427/ (7.4 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_102_20210930155955/ (82.5 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_102_20210930155955_100/ (82.5 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_103_20210930191859/ (131.6 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_103_20210930191859_101/ (131.6 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_104_20210727190226/ (7.4 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_104_20210930191950/ (121.1 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_104_20210930191950_103/ (121.1 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_105_20210727190905/ (7.4 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_105_20210930192200/ (77.0 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_105_20210930192200_102/ (77.0 MB, 1701d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210727193050/ (7.2 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210727193050_118/ (7.2 MB, 1766d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/import_106_20210727193050_119/ (7.2 MB, 1766d old)
